[2026-03-13 11:06:00.159] [FRAME-TX] 7 bytes | U | 68 04 00 07 00 00 00
[2026-03-13 11:06:00.160] [FRAME-RX] 7 bytes | U | 68 04 00 0B 00 00 00
[2026-03-13 11:06:00.160] [FRAME-TX] 16 bytes | I | 68 0D 00 00 00 00 00 07 01 09 00 00 00 FF 00 00
[2026-03-13 11:06:00.163] [FRAME-RX] 50 bytes | I | 68 2F 00 00 00 02 00 2A 0C 09 00 00 01 FF 10 00 FF 11 01 FF 12 01 FF 13 00 FF 14 00 FF 15 00 FF 16 00 FF 20 01 FF 21 01 80 01 01 80 02 00 80 03 00 00
[2026-03-13 11:06:00.164] [FRAME-RX] 16 bytes | I | 68 0D 00 02 00 02 00 08 01 0A 00 00 01 FF 00 00
[2026-03-13 11:06:00.165] [FRAME-TX] 23 bytes | I | 68 14 00 02 00 04 00 15 01 2A 00 00 01 FE F1 01 01 01 FF 01 00 00 00
[2026-03-13 11:06:00.165] [FRAME-TX] 23 bytes | I | 68 14 00 04 00 04 00 15 01 2A 00 00 01 FE F1 01 01 02 FF 01 00 00 00
[2026-03-13 11:06:00.166] [FRAME-TX] 23 bytes | I | 68 14 00 06 00 04 00 15 01 2A 00 00 01 FE F1 01 01 05 FF 01 00 00 00
[2026-03-13 11:06:00.166] [FRAME-TX] 23 bytes | I | 68 14 00 08 00 04 00 15 01 2A 00 00 01 FE F1 01 01 06 FF 01 00 00 00
[2026-03-13 11:06:00.166] [FRAME-TX] 23 bytes | I | 68 14 00 0A 00 04 00 15 01 2A 00 00 01 FE F1 01 01 07 FF 01 00 00 00
[2026-03-13 11:06:00.166] [FRAME-TX] 23 bytes | I | 68 14 00 0C 00 04 00 15 01 2A 00 00 01 FE F1 01 01 64 FF 01 00 00 00
[2026-03-13 11:06:00.166] [FRAME-RX] 50 bytes | I | 68 2F 00 04 00 02 00 2A 0C 09 00 00 02 FF 10 01 FF 11 00 FF 12 01 FF 13 01 FF 14 00 FF 15 00 FF 16 01 FF 20 01 FF 21 00 80 01 01 80 02 01 80 03 00 00
